Rank,Title,Year,Cost (est.) (millions  Adjusted,Cost (est.) (millions)   Nominal
,,,,
1,Pirates of the Caribbean: On Stranger Tides,2011,$456,*$378.5
2,Avengers: Age of Ultron,2015,$417,*$365
3,Pirates of the Caribbean: At World's End,2007,$392,$300
4,Avengers: Endgame,2019,$377,$356
5,Avengers: Infinity War,2018,$351,$325
6,Avatar: The Way of Water,2022,$350,$350
7,Titanic,1997,$338,*$200
8,Spider-Man 3,2007,$337,*$258
9,Justice League,2017,$332,$300
10,Tangled,2010,$323,$260
11,Harry Potter and the Half-Blood Prince,2009,$316,$250
12,John Carter,2012,$311,*$263.7
13,Waterworld,1995,$306,*$172
14,Pirates of the Caribbean: Dead Man's Chest,2006,$302,$225
15,Avatar,2009,$299,*$237
16,Batman v Superman: Dawn of Justice,2016,$297,$263
16,Solo: A Star Wars Story,2018,$297,*$275
18,Star Wars: The Force Awakens,2015,$296,*$259
19,Star Wars: The Rise of Skywalker,2019,$291,$275
20,Star Wars: The Last Jedi,2017,$290,$262
21,King Kong,2005,$287,$207
21,Spider-Man 2,2004,$287,$200
23,Furious 7,2015,$286,$250
24,The Chronicles of Narnia: Prince Caspian,2008,$283,*$225
25,X-Men: The Last Stand,2006,$282,$210
25,Beauty and the Beast,2017,$282,*$255
27,Spectre,2015,$280,$245
28,Wild Wild West,1999,$277,$170
29,The Fate of the Furious,2017,$276,$250
29,The Lion King,2019,$276,$260
31,Cleopatra,1963,$275,*$31.1
32,Superman Returns,2006,$274,*$204
33,The Dark Knight Rises,2012,$271,$230
34,The Lone Ranger,2013,$262,*$225
34,Man of Steel,2013,$262,$225
36,The Avengers,2012,$260,$220
,Captain America: Civil War,2016,$260,$230
38,Maleficent,2014,$259,$226
39,Pirates of the Caribbean: Dead Men Tell No Tales,2017,$254,$230
39,Men in Black 3,2012,$254,*$215
41,Transformers: Revenge of the Fallen,2009,$253,*$200
41,2012,2009,$253,*$200
41,Terminator Salvation,2009,$253,$200
44,The Hobbit: The Desolation of Smaug,2013,$252,$217
44,Quantum of Solace,2008,$252,$200
46,Troy,2004,$251,*$175
47,Oz the Great and Powerful,2013,$250,*$215
47,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,$250,$180
47,No Time to Die,2021,$250,$250
47,Thor: Love and Thunder,2022,$250,$250
47,Black Panther: Wakanda Forever,2022,$250,$250
52,Toy Story 3,2010,$249,$200
53,Rogue One: A Star Wars Story,2016,$248,*$219.5
54,Battleship,2012,$247,*$209
55,Terminator 3: Rise of the Machines,2003,$246,$167
56,Green Lantern,2011,$241,$200
,Cars 2,2011,$241,$200
58,Transformers: Age of Extinction,2014,$240,$210
58,Transformers: The Last Knight,2017,$240,*$217
60,Dawn of the Planet of the Apes,2014,$239,$209
60,The Hobbit: The Battle of the Five Armies,2014,$239,$209
62,The Amazing Spider-Man,2012,$236,$200
62,The Hobbit: An Unexpected Journey,2012,$236,$200
64,The Golden Compass,2007,$235,*$180
,Transformers: Dark of the Moon,2011,$235,$195
,X-Men: Days of Future Past,2014,$235,$205
67,Armageddon,1998,$233,$140
67,Indiana Jones and the Kingdom of the Crystal Skull,2008,$233,$185
67,The Dark Knight,2008,$233,$185
67,Iron Man 3,2013,$233,$200
67,Monsters University,2013,$233,$200
n/a,Van Helsing,2004,$230,$160
n/a,The Polar Express,2004,$230,$160
n/a,The Amazing Spider-Man 2,2014,$229,$200
n/a,Exodus: Gods and Kings,2014,$229,$200
n/a,Evan Almighty,2007,$229,$175
n/a,WALL-E,2008,$227,$180
n/a,Superman,1978,$226–231,$55
